Source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 111	ES_XP_Ubi_97H_312.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_312.raw	1	11	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 112	ES_XP_Ubi_97H_313.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_313.raw	1	12	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 113	ES_XP_Ubi_97H_314.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_314.raw	1	13	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 114	ES_XP_Ubi_97H_315.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_315.raw	1	14	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 115	ES_XP_Ubi_97H_316.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_316.raw	1	15	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 116	ES_XP_Ubi_97H_317.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_317.raw	1	16	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 117	ES_XP_Ubi_97H_318.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_318.raw	1	17	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 118	ES_XP_Ubi_97H_319.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_319.raw	1	18	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 119	ES_XP_Ubi_97H_320.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_320.raw	1	19	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 120	ES_XP_Ubi_97H_321.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_321.raw	1	20	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 121	ES_XP_Ubi_97H_322.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_322.raw	1	21	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 122	ES_XP_Ubi_97H_323.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_323.raw	1	22	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 123	ES_XP_Ubi_97H_324.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_324.raw	1	23	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 124	ES_XP_Ubi_97H_325.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_325.raw	1	24	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 125	ES_XP_Ubi_97H_326.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_326.raw	1	25	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 126	ES_XP_Ubi_97H_327.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_327.raw	1	26	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 127	ES_XP_Ubi_97H_328.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_328.raw	1	27	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 128	ES_XP_Ubi_97H_329.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_329.raw	1	28	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 129	ES_XP_Ubi_97H_330.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_330.raw	1	29	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 130	ES_XP_Ubi_97H_331.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_331.raw	1	30	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 131	ES_XP_Ubi_97H_332.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_332.raw	1	31	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 132	ES_XP_Ubi_97H_333.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_333.raw	1	32	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
PXD002255-Sample-3	Homo sapiens	liver	39Y	adult	Chinese	MHCC97H	not available	male	hepatocellular carcinoma (HCC)	Tandem Ubiquitin Binding Entities	enrichment of ubiquitinated protein	1	not synthetic	run 133	ES_XP_Ubi_97H_334.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Ubi_97H_334.raw	1	33	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.5 Da	MHCC97H
