source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[ph]	characteristics[day]	characteristics[tank]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[proteomexchange accession number]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD020692-Sample-11	marine metagenome	not applicable	not applicable	not applicable	11	7.1	1	9	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_12.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_12.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-12	marine metagenome	not applicable	not applicable	not applicable	12	8.2	5	4	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_13.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_13.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-13	marine metagenome	not applicable	not applicable	not applicable	13	8.2	1	8	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_14.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_14.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-14	marine metagenome	not applicable	not applicable	not applicable	14	8.2	5	8	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_15.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_15.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-15	marine metagenome	not applicable	not applicable	not applicable	15	7.1	1	6	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_16.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_16.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-16	marine metagenome	not applicable	not applicable	not applicable	16	7.1	5	6	not available	not applicable	1	2018_March_5_UWPRQE_HatchMicro_17.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_17.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-17	marine metagenome	not applicable	not applicable	not applicable	17	7.1	1	9	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_18.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_18.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-18	marine metagenome	not applicable	not applicable	not applicable	18	7.1	12	9	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_19.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_19.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-19	marine metagenome	not applicable	not applicable	not applicable	19	8.2	8	8	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_20.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_20.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-20	marine metagenome	not applicable	not applicable	not applicable	20	8.2	5	4	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_21.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_21.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-21	marine metagenome	not applicable	not applicable	not applicable	21	8.2	5	8	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_22.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_22.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-22	marine metagenome	not applicable	not applicable	not applicable	22	8.2	1	8	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_23.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_23.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-23	marine metagenome	not applicable	not applicable	not applicable	23	7.1	1	6	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_24.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_24.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-24	marine metagenome	not applicable	not applicable	not applicable	24	7.1	5	9	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_25.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_25.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-25	marine metagenome	not applicable	not applicable	not applicable	25	7.1	12	6	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_26.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_26.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-26	marine metagenome	not applicable	not applicable	not applicable	26	7.1	8	6	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_27.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_27.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-27	marine metagenome	not applicable	not applicable	not applicable	27	7.1	5	6	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_28.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_28.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-28	marine metagenome	not applicable	not applicable	not applicable	28	8.2	1	4	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_29.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_29.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-29	marine metagenome	not applicable	not applicable	not applicable	29	8.2	12	8	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_30.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_30.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-30	marine metagenome	not applicable	not applicable	not applicable	30	8.2	8	4	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_31.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_31.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-31	marine metagenome	not applicable	not applicable	not applicable	31	8.2	12	4	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_32.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_32.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-32	marine metagenome	not applicable	not applicable	not applicable	32	7.1	8	9	not available	not applicable	2	2018_March_5_UWPRQE_HatchMicro_33.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_33.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-33	marine metagenome	not applicable	not applicable	not applicable	33	7.1	8	9	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_34.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_34.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-34	marine metagenome	not applicable	not applicable	not applicable	34	8.2	8	4	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_35.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_35.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-35	marine metagenome	not applicable	not applicable	not applicable	35	8.2	5	4	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_36.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_36.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-36	marine metagenome	not applicable	not applicable	not applicable	36	8.2	12	8	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_37.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_37.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-37	marine metagenome	not applicable	not applicable	not applicable	37	8.2	8	8	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_38.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_38.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-38	marine metagenome	not applicable	not applicable	not applicable	38	7.1	1	6	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_39.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_39.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-39	marine metagenome	not applicable	not applicable	not applicable	39	7.1	1	9	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_40.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_40.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-40	marine metagenome	not applicable	not applicable	not applicable	40	8.2	5	8	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_41.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_41.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-41	marine metagenome	not applicable	not applicable	not applicable	41	7.1	12	9	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_42.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_42.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-42	marine metagenome	not applicable	not applicable	not applicable	42	8.2	1	4	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_43.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_43.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-43	marine metagenome	not applicable	not applicable	not applicable	43	8.2	12	4	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_44.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_44.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-44	marine metagenome	not applicable	not applicable	not applicable	44	8.2	1	8	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_45.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_45.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-45	marine metagenome	not applicable	not applicable	not applicable	45	7.1	5	9	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_46.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_46.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
PXD020692-Sample-46	marine metagenome	not applicable	not applicable	not applicable	46	7.1	12	6	not available	not applicable	3	2018_March_5_UWPRQE_HatchMicro_47.raw	http://ftp.ebi.ac.uk/pride-archive/2021/04/PXD020692/2018_March_5_UWPRQE_HatchMicro_47.raw	PXD020692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	10 ppm	10 ppm	marine metagenome
