source name	characteristics[organism]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[organism part]	characteristics[sampling site]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD003539-Sample-6	Homo sapiens	CAKI-1	CVCL_0234	Kidney	Skin	49Y	Adult	Male	Caucasian	Clear cell renal cell carcinoma	not available	1	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_010_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_010_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	CAKI-1
PXD003539-Sample-6	Homo sapiens	CAKI-1	CVCL_0234	Kidney	Skin	49Y	Adult	Male	Caucasian	Clear cell renal cell carcinoma	not available	1	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_002_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	CAKI-1
PXD003539-Sample-7	Homo sapiens	KM12	CVCL_1331	Colon	Colon	not available	not available	not available	Caucasian	Colon carcinoma	not available	1	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_011_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_011_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	KM12
PXD003539-Sample-7	Homo sapiens	KM12	CVCL_1331	Colon	Colon	not available	not available	not available	Caucasian	Colon carcinoma	not available	1	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_003_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_003_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	KM12
PXD003539-Sample-8	Homo sapiens	SF539	CVCL_1691	Brain	not available	34Y	Adult	Female	Caucasian	Gliosarcoma	not available	1	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_012_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_012_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SF539
PXD003539-Sample-8	Homo sapiens	SF539	CVCL_1691	Brain	not available	34Y	Adult	Female	Caucasian	Gliosarcoma	not available	1	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_004_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SF539
PXD003539-Sample-9	Homo sapiens	SK-MEL-2	CVCL_0069	Skin	Skin; Thigh	6Y	Children	Male	Caucasian	Melanoma	not available	1	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_013_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_013_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SK-MEL-2
PXD003539-Sample-9	Homo sapiens	SK-MEL-2	CVCL_0069	Skin	Skin; Thigh	6Y	Children	Male	Caucasian	Melanoma	not available	1	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_005_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SK-MEL-2
PXD003539-Sample-10	Homo sapiens	SK-OV-3	CVCL_0532	Ovary	Ascites	64Y	Adult	Female	Caucasian	Ovarian serous cystadenocarcinoma	not available	1	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_014_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_014_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SK-OV-3
PXD003539-Sample-10	Homo sapiens	SK-OV-3	CVCL_0532	Ovary	Ascites	64Y	Adult	Female	Caucasian	Ovarian serous cystadenocarcinoma	not available	1	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_006_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_006_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SK-OV-3
PXD003539-Sample-11	Homo sapiens	786-0	CVCL_1051	Kidney	Kidney	58Y	Adult	Male	Caucasian	Renal cell carcinoma	not available	1	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_002_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	786-0
PXD003539-Sample-11	Homo sapiens	786-0	CVCL_1051	Kidney	Kidney	58Y	Adult	Male	Caucasian	Renal cell carcinoma	not available	1	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_002_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	786-0
PXD003539-Sample-12	Homo sapiens	HT-29	CVCL_0320	Colon	Colon	44Y	Adult	Female	Caucasian	Colon adenocarcinoma	not available	1	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_003_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_003_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	HT-29
PXD003539-Sample-12	Homo sapiens	HT-29	CVCL_0320	Colon	Colon	44Y	Adult	Female	Caucasian	Colon adenocarcinoma	not available	1	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_003_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_003_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	HT-29
PXD003539-Sample-13	Homo sapiens	K-562	CVCL_0004	Haematopoietic and Lymphoid	Pleural effusion	53Y	Adult	Female	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	not available	1	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_004_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	K-562
PXD003539-Sample-13	Homo sapiens	K-562	CVCL_0004	Haematopoietic and Lymphoid	Pleural effusion	53Y	Adult	Female	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	not available	1	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_004_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	K-562
PXD003539-Sample-14	Homo sapiens	MDA-MB-231	CVCL_0062	Breast	Pleural effusion	51Y	Adult	Female	Caucasian	Breast adenocarcinoma	not available	1	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_005_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	MDA-MB-231
PXD003539-Sample-14	Homo sapiens	MDA-MB-231	CVCL_0062	Breast	Pleural effusion	51Y	Adult	Female	Caucasian	Breast adenocarcinoma	not available	1	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_005_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	MDA-MB-231
PXD003539-Sample-15	Homo sapiens	SK-MEL-5	CVCL_0527	Skin	Lymph node; Axillary lymph node	24Y	Adult	Female	Caucasian	Cutaneous melanoma	not available	1	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_006_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_006_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SK-MEL-5
PXD003539-Sample-15	Homo sapiens	SK-MEL-5	CVCL_0527	Skin	Lymph node; Axillary lymph node	24Y	Adult	Female	Caucasian	Cutaneous melanoma	not available	1	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_006_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_006_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	SK-MEL-5
PXD003539-Sample-16	Homo sapiens	HL-60	CVCL_0002	Blood	Peripheral blood	36Y	Adult	Female	Caucasian	Acute myeloid leukemia	not available	1	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130613_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130613_002_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	HL-60
