source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cause of death]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 11	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_3_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_3_002.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 12	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_3_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_3_003.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 13	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_4_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_4_001.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 14	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_4_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_4_002.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 15	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_4_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_4_003.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 16	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_5_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_5_001.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 17	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_5_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_5_002.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 18	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_5_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_5_003.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 19	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_6_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_6_001.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 20	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_6_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_6_002.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 21	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_6_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_6_003.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 22	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_7_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_7_001.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 23	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_7_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_7_002.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 24	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_7_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_7_003.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 25	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_8_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_8_001.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 26	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_8_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_8_002.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 27	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_8_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_8_003.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 28	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_9_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_9_001.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 29	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_9_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_9_002.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-4	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	4	ms run 31	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_FT_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_FT_001.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-5	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	5	ms run 32	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_FT_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_FT_002.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-6	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	6	ms run 33	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_FT_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_FT_003.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 34	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_10_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_10_001.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 35	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_10_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_10_002.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 36	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_10_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_10_003.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 37	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_1_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_1_001.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
