source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
MSV000087095-Sample-11	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	11	ms run 11	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14083LV_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14083LV_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-12	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	12	ms run 12	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14083LV_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14083LV_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-13	Homo sapiens	heart	right ventricle	whole tissue	not available	not available	not available	normal	not available	13	ms run 13	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14083RV_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14083RV_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-14	Homo sapiens	heart	right ventricle	whole tissue	not available	not available	not available	normal	not available	14	ms run 14	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14083RV_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14083RV_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-16	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	16	ms run 16	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14208LV_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14208LV_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-17	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	17	ms run 17	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14208LV_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14208LV_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-18	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	18	ms run 18	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14208LV_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14208LV_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-19	Homo sapiens	heart	right ventricle	whole tissue	not available	not available	not available	normal	not available	19	ms run 19	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14208RV_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14208RV_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-21	Homo sapiens	heart	right ventricle	whole tissue	not available	not available	not available	normal	not available	21	ms run 21	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7742_14208RV_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7742_14208RV_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-22	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	22	ms run 22	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14051Apex_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14051Apex_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-23	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	23	ms run 23	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14051Apex_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14051Apex_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-24	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	24	ms run 24	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14051Apex_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14051Apex_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-25	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	25	ms run 25	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083Apex_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083Apex_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-26	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	26	ms run 26	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083Apex_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083Apex_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-27	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	27	ms run 27	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083Apex_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083Apex_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-28	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	28	ms run 28	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083LV_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083LV_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-29	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	29	ms run 29	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083LV_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083LV_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-30	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	30	ms run 30	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083LV_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083LV_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-31	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	31	ms run 31	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083RV_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083RV_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-32	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	32	ms run 32	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083RV_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083RV_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-33	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	33	ms run 33	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14083RV_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14083RV_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-34	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	34	ms run 34	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14208Apex_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208Apex_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-35	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	35	ms run 35	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14208Apex_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208Apex_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-36	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	36	ms run 36	proteomic profiling by mass spectrometry	1	993_Mercury_20201214_120_131_7746_14208Apex_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208Apex_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
