source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[fraction identifier]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[sample preparation]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD030306-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_15_CMP-GH_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer, chlorophorm methanol precipitation"	2	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_15_CMP-GH_iRT_500ng.raw	HeLa
PXD030306-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 27	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_25_CMP-GH_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer, chlorophorm methanol precipitation"	3	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_25_CMP-GH_iRT_500ng.raw	HeLa
PXD030306-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 15	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_08_EP-UREA_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer, ethanol precipitation"	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_08_EP-UREA_iRT_500ng.raw	HeLa
PXD030306-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 17	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_18_EP-UREA_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer, ethanol precipitation"	2	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_18_EP-UREA_iRT_500ng.raw	HeLa
PXD030306-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 30	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_28_EP-UREA_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, GuanidinHCL buffer, ethanol precipitation"	3	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_28_EP-UREA_iRT_500ng.raw	HeLa
PXD030306-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	6	cell line	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_03_LYS-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC,no precipitation step"	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_03_LYS-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	6	cell line	run 25	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_23_LYS-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC,no precipitation step"	3	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_23_LYS-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-6	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	6	cell line	run 46	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_13_LYS-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC,no precipitation step"	2	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_13_LYS-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	7	cell line	run 16	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_09_ACP-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC, acetone precipitation"	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_09_ACP-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	7	cell line	run 18	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_19_ACP-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC, acetone precipitation"	2	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_19_ACP-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-7	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	7	cell line	run 31	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_29_ACP-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC, acetone precipitation"	3	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_29_ACP-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	8	cell line	run 13	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_06_CMP-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC, chlorophorm methanol precipitation"	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_06_CMP-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	8	cell line	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_16_CMP-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC, chlorophorm methanol precipitation"	2	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_16_CMP-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-8	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	8	cell line	run 28	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_26_CMP-SDC_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SDC, chlorophorm methanol precipitation"	3	20200525_QExHFX1_RSLC1_Anrather_Hartl_MFPL_26_CMP-SDC_iRT_500ng.raw	HeLa
PXD030306-Sample-9	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	9	cell line	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/09/PXD030406/20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_10_SPEED_iRT_500ng.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	"In solution digest, SPEED protocol"	1	20200520_QExHFX1_RSLC1_Anrather_Hartl_MFPL_10_SPEED_iRT_500ng.raw	HeLa
