source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]
PXD009199-Sample-6	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 11	proteomic profiling by mass spectrometry	ctl_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_08.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-6	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 12	proteomic profiling by mass spectrometry	ctl_08_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_08_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-7	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 13	proteomic profiling by mass spectrometry	ctl_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_09.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-7	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 14	proteomic profiling by mass spectrometry	ctl_09_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_09_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-8	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 15	proteomic profiling by mass spectrometry	ctl_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_11.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-8	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 16	proteomic profiling by mass spectrometry	ctl_11_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_11_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-9	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 17	proteomic profiling by mass spectrometry	ctl_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_13.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-9	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 18	proteomic profiling by mass spectrometry	ctl_13_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_13_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-10	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 19	proteomic profiling by mass spectrometry	ctl_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_14.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-10	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 20	proteomic profiling by mass spectrometry	ctl_14_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/ctl_14_b.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-1	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 21	proteomic profiling by mass spectrometry	AD1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/AD1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-2	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 22	proteomic profiling by mass spectrometry	AD2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/AD2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-3	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 23	proteomic profiling by mass spectrometry	AD5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/AD5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-4	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 24	proteomic profiling by mass spectrometry	AD6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/AD6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-5	Homo sapiens	brain	not available	not available	not available	not available	not available	Alzheimer's disease	1	organism part	run 25	proteomic profiling by mass spectrometry	AD7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/AD7.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	Alzheimer's disease
PXD009199-Sample-6	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 26	proteomic profiling by mass spectrometry	CTL11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/CTL11.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-7	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 27	proteomic profiling by mass spectrometry	CTL13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/CTL13.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-8	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 28	proteomic profiling by mass spectrometry	CTL14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/CTL14.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-9	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 29	proteomic profiling by mass spectrometry	CTL8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/CTL8.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
PXD009199-Sample-10	Homo sapiens	brain	not available	not available	not available	not available	not available	normal	1	organism part	run 30	proteomic profiling by mass spectrometry	CTL9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD009199/CTL9.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=fixed;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=N;MT=fixed	NT=Deamidated;AC=UNIMOD:7;PP=Q;MT=fixed	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	��20 ppm	0.6 Da	normal
