source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[phenotype]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[enrichment process]	characteristics[enrichment method]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD006482-Sample-10	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 111	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_26_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_26_11.raw	1	11	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-10	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 112	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_26_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_26_12.raw	1	12	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 121	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-1.raw	1	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 125	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-2.raw	1	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 126	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-3.raw	1	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 127	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-4.raw	1	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 128	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-5.raw	1	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 129	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-6.raw	1	6	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 130	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-7.raw	1	7	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 131	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-8.raw	1	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 132	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-9.raw	1	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 122	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-10.raw	1	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 123	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-11.raw	1	11	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-11	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 124	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_27-12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_27-12.raw	1	12	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-12	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 133	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_28_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_28_1.raw	1	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-12	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 137	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_28_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_28_2.raw	1	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-12	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 138	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_28_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_28_3.raw	1	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-12	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 139	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_28_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_28_4.raw	1	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
PXD006482-Sample-12	Homo sapiens	kidney	clear cell renal carcinoma	not available	normal	adjacent tissue-proteomes	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 140	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_28_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_28_5.raw	1	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.02 Da	normal
