source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[phenotype]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[enrichment process]	characteristics[enrichment method]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-11.raw	1	11	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-12.raw	1	12	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_1.raw	1	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_2.raw	1	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_3.raw	1	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_4.raw	1	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_5.raw	1	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_6.raw	1	6	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_7.raw	1	7	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_8.raw	1	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_9.raw	1	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_10.raw	1	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_11.raw	1	11	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	2	organism part	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_13_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_13_12.raw	1	12	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-3	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_16-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-1.raw	1	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-3	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_16-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-2.raw	1	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-3	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_16-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-3.raw	1	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-3	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_16-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-4.raw	1	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-3	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	3	organism part	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_16-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_16-5.raw	1	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
