source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD032212-Sample-7	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	4	318	tissue	run 13	proteomic profiling by mass spectrometry	BT_190226_Arsenii_13.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_13.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-7	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	4	318	tissue	run 14	proteomic profiling by mass spectrometry	BT_190226_Arsenii_14.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/BT_190226_Arsenii_14.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-8	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	4	2	tissue	run 15	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_01.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-8	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	4	2	tissue	run 16	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_02.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_02.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-9	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	5	3	tissue	run 17	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_03.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-9	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	5	3	tissue	run 18	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_04.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_04.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-10	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	6	4	tissue	run 19	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_05.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_05.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-10	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	6	4	tissue	run 20	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_06.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_06.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-11	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	7	64	tissue	run 21	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_07.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_07.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-11	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	7	64	tissue	run 22	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_08.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_08.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-12	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	8	69	tissue	run 23	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_09.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_09.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-12	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	8	69	tissue	run 24	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_10.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_10.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-13	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	9	77	tissue	run 25	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_11.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_11.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-13	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	normal	not available	not available	not available	9	77	tissue	run 26	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_12.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_12.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-14	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	5	129	tissue	run 27	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_13.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_13.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-14	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	5	129	tissue	run 28	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_14.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_14.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-15	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	6	181	tissue	run 29	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_15.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_15.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-15	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	6	181	tissue	run 30	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_16.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_16.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-16	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	7	256/280	tissue	run 31	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_17.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_17.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-16	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	7	256/280	tissue	run 32	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_18.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_18.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
PXD032212-Sample-17	Homo sapiens	heart	aortic valve	not applicable	not applicable	not available	calcified aortic valve	not available	not available	not available	8	314	tissue	run 33	proteomic profiling by mass spectrometry	CJK_180927_Arsenii_19.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD032212/CJK_180927_Arsenii_19.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD; AC = PRIDE:0000590	27% NCE	30 ppm	0.05 Da	heart
