source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[treatment]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[treatment]
PXD020248-Sample-5	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	2	cell	run 11	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP123_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP123_F2.raw	1	2	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
PXD020248-Sample-6	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	3	cell	run 12	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP123_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP123_F2.raw	1	2	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
PXD020248-Sample-7	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	Control	Carcinoma	not available	male	15Y	4	cell	run 13	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F1.raw	1	1	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	Control
PXD020248-Sample-8	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	Control	Carcinoma	not available	male	15Y	5	cell	run 14	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F1.raw	1	1	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	Control
PXD020248-Sample-9	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	Control	Carcinoma	not available	male	15Y	6	cell	run 15	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F1.raw	1	1	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	Control
PXD020248-Sample-10	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	4	cell	run 16	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F1.raw	1	1	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
PXD020248-Sample-11	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	5	cell	run 17	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F1.raw	1	1	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
PXD020248-Sample-12	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	6	cell	run 18	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F1.raw	1	1	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
PXD020248-Sample-7	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	Control	Carcinoma	not available	male	15Y	4	cell	run 19	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F2.raw	1	2	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	Control
PXD020248-Sample-8	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	Control	Carcinoma	not available	male	15Y	5	cell	run 20	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F2.raw	1	2	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	Control
PXD020248-Sample-9	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	Control	Carcinoma	not available	male	15Y	6	cell	run 21	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F2.raw	1	2	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	Control
PXD020248-Sample-10	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	4	cell	run 22	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F2.raw	1	2	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
PXD020248-Sample-11	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	5	cell	run 23	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F2.raw	1	2	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
PXD020248-Sample-12	Homo sapiens	liver	epithelial cell	HepG2	late embryonic stage	BaP	Carcinoma	not available	male	15Y	6	cell	run 24	proteomic profiling by mass spectrometry	20200103_HepG2_sp3_TMT_BP456_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/12/PXD020248/20200103_HepG2_sp3_TMT_BP456_F2.raw	1	2	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=PRIDE:0000590	34 NCE	4.5 ppm	20 ppm	BaP
