source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	characteristics[biological replicate]	comment[technical replicate]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[collision energy]	comment[data file]	factor value[disease]
PXD005692-Sample 1	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run16	NT=label free sample;AC=MS:1002038	Ambs_10248_16.RAW	16	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10248_16.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run17	NT=label free sample;AC=MS:1002038	Ambs_10249_01.RAW	1	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_01.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run18	NT=label free sample;AC=MS:1002038	Ambs_10249_02.RAW	2	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_02.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run19	NT=label free sample;AC=MS:1002038	Ambs_10249_03.RAW	3	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_03.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run20	NT=label free sample;AC=MS:1002038	Ambs_10249_04.RAW	4	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_04.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run21	NT=label free sample;AC=MS:1002038	Ambs_10249_05.RAW	5	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_05.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run22	NT=label free sample;AC=MS:1002038	Ambs_10249_06.RAW	6	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_06.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run23	NT=label free sample;AC=MS:1002038	Ambs_10249_07.RAW	7	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_07.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run24	NT=label free sample;AC=MS:1002038	Ambs_10249_08.RAW	8	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_08.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run25	NT=label free sample;AC=MS:1002038	Ambs_10249_09.RAW	9	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_09.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run26	NT=label free sample;AC=MS:1002038	Ambs_10249_10.RAW	10	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_10.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run27	NT=label free sample;AC=MS:1002038	Ambs_10249_11.RAW	11	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_11.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run28	NT=label free sample;AC=MS:1002038	Ambs_10249_12.RAW	12	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_12.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run29	NT=label free sample;AC=MS:1002038	Ambs_10249_13.RAW	13	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_13.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run30	NT=label free sample;AC=MS:1002038	Ambs_10249_14.RAW	14	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_14.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run31	NT=label free sample;AC=MS:1002038	Ambs_10249_15.RAW	15	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_15.RAW	breast cancer
PXD005692-Sample 2	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run32	NT=label free sample;AC=MS:1002038	Ambs_10249_16.RAW	16	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10249_16.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run33	NT=label free sample;AC=MS:1002038	Ambs_10668_01.RAW	1	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_01.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run34	NT=label free sample;AC=MS:1002038	Ambs_10668_02.RAW	2	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_02.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run35	NT=label free sample;AC=MS:1002038	Ambs_10668_03.RAW	3	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_03.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run36	NT=label free sample;AC=MS:1002038	Ambs_10668_04.RAW	4	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_04.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run37	NT=label free sample;AC=MS:1002038	Ambs_10668_05.RAW	5	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_05.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run38	NT=label free sample;AC=MS:1002038	Ambs_10668_06.RAW	6	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_06.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run39	NT=label free sample;AC=MS:1002038	Ambs_10668_07.RAW	7	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_07.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run40	NT=label free sample;AC=MS:1002038	Ambs_10668_08.RAW	8	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_08.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run41	NT=label free sample;AC=MS:1002038	Ambs_10668_09.RAW	9	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_09.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run42	NT=label free sample;AC=MS:1002038	Ambs_10668_10.RAW	10	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_10.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run43	NT=label free sample;AC=MS:1002038	Ambs_10668_11.RAW	11	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_11.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run44	NT=label free sample;AC=MS:1002038	Ambs_10668_12.RAW	12	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_12.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run45	NT=label free sample;AC=MS:1002038	Ambs_10668_13.RAW	13	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_13.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run46	NT=label free sample;AC=MS:1002038	Ambs_10668_14.RAW	14	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_14.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run47	NT=label free sample;AC=MS:1002038	Ambs_10668_15.RAW	15	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_15.RAW	breast cancer
PXD005692-Sample 3	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run48	NT=label free sample;AC=MS:1002038	Ambs_10668_16.RAW	16	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10668_16.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run49	NT=label free sample;AC=MS:1002038	Ambs_10669_01.RAW	1	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_01.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run50	NT=label free sample;AC=MS:1002038	Ambs_10669_02.RAW	2	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_02.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run51	NT=label free sample;AC=MS:1002038	Ambs_10669_03.RAW	3	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_03.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run52	NT=label free sample;AC=MS:1002038	Ambs_10669_04.RAW	4	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_04.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run53	NT=label free sample;AC=MS:1002038	Ambs_10669_05.RAW	5	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_05.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run54	NT=label free sample;AC=MS:1002038	Ambs_10669_06.RAW	6	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_06.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run55	NT=label free sample;AC=MS:1002038	Ambs_10669_07.RAW	7	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_07.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run56	NT=label free sample;AC=MS:1002038	Ambs_10669_08.RAW	8	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_08.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run57	NT=label free sample;AC=MS:1002038	Ambs_10669_09.RAW	9	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_09.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run58	NT=label free sample;AC=MS:1002038	Ambs_10669_10.RAW	10	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_10.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run59	NT=label free sample;AC=MS:1002038	Ambs_10669_11.RAW	11	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_11.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run60	NT=label free sample;AC=MS:1002038	Ambs_10669_12.RAW	12	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_12.RAW	breast cancer
PXD005692-Sample 4	homo sapiens	breast	breast cancer	not available	not available	not available	not available	not available	not available	not available	1	1	run61	NT=label free sample;AC=MS:1002038	Ambs_10669_13.RAW	13	NT=LTQ Velos;AC=MS:1000855	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	0.05 Da	1.4 Da	not available	Ambs_10669_13.RAW	breast cancer
