source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[developmental stage]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[file URI]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[Label]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD019263-Sample 10	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 30	3	10	PXD019263	/apps/WDDD/PXD019263/HepG2_12_191221012807.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_12_191221012807.raw	HepG2
PXD019263-Sample 11	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 31	1	11	PXD019263	/apps/WDDD/PXD019263/HepG2_13.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_13.raw	HepG2
PXD019263-Sample 11	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 32	2	11	PXD019263	/apps/WDDD/PXD019263/HepG2_13_191221023036.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_13_191221023036.raw	HepG2
PXD019263-Sample 11	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 33	3	11	PXD019263	/apps/WDDD/PXD019263/HepG2_13_191221033307.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_13_191221033307.raw	HepG2
PXD019263-Sample 12	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 34	1	12	PXD019263	/apps/WDDD/PXD019263/HepG2_14.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_14.raw	HepG2
PXD019263-Sample 12	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 35	2	12	PXD019263	/apps/WDDD/PXD019263/HepG2_14_191221043537.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_14_191221043537.raw	HepG2
PXD019263-Sample 12	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 36	3	12	PXD019263	/apps/WDDD/PXD019263/HepG2_14_191221053810.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_14_191221053810.raw	HepG2
PXD019263-Sample 13	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 37	1	13	PXD019263	/apps/WDDD/PXD019263/HepG2_15.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_15.raw	HepG2
PXD019263-Sample 13	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 38	2	13	PXD019263	/apps/WDDD/PXD019263/HepG2_15_191221064039.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_15_191221064039.raw	HepG2
PXD019263-Sample 13	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 39	3	13	PXD019263	/apps/WDDD/PXD019263/HepG2_15_191221074308.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_15_191221074308.raw	HepG2
PXD019263-Sample 14	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 40	1	14	PXD019263	/apps/WDDD/PXD019263/HepG2_16.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_16.raw	HepG2
PXD019263-Sample 14	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 41	2	14	PXD019263	/apps/WDDD/PXD019263/HepG2_16_191221084539.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_16_191221084539.raw	HepG2
PXD019263-Sample 14	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 42	3	14	PXD019263	/apps/WDDD/PXD019263/HepG2_16_191221094810.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_16_191221094810.raw	HepG2
PXD019263-Sample 15	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 43	1	15	PXD019263	/apps/WDDD/PXD019263/HepG2_17.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_17.raw	HepG2
PXD019263-Sample 15	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 44	2	15	PXD019263	/apps/WDDD/PXD019263/HepG2_17_191221105039.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_17_191221105039.raw	HepG2
PXD019263-Sample 15	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 45	3	15	PXD019263	/apps/WDDD/PXD019263/HepG2_17_191221115311.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_17_191221115311.raw	HepG2
PXD019263-Sample 16	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 46	1	16	PXD019263	/apps/WDDD/PXD019263/HepG2_18.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_18.raw	HepG2
PXD019263-Sample 16	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 47	2	16	PXD019263	/apps/WDDD/PXD019263/HepG2_18_191221125540.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_18_191221125540.raw	HepG2
PXD019263-Sample 16	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 48	3	16	PXD019263	/apps/WDDD/PXD019263/HepG2_18_191221135809.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_18_191221135809.raw	HepG2
PXD019263-Sample 17	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 49	1	17	PXD019263	/apps/WDDD/PXD019263/HepG2_19.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_19.raw	HepG2
