Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[cell type]	Characteristics[treatment]	Characteristics[cell line]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]	factor value[treatment]	sampleChecksum	sampleAccession
PXD007662-Sample 11	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	335	5	run 11	20161223_Qp2_65_335_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_65_335_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	heat shock	a6f035e8a7a365aa26ea17e1fb71dc69167db604195001eab6b74da83cfe8d92	SAMEA7714388
PXD007662-Sample 12	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	335	6	run 12	20161223_Qp2_34_335_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_34_335_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	heat shock	1349ee4b9d276735b5fc82a4b4b14fadb3449b3412078142c03c8a74ed5bae40	SAMEA7714389
PXD007662-Sample 13	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	G	1	run 13	20161223_Qp2_25_G_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_25_G_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	G	none	859e7f654fd1c03cbd08261ecc8ae1067f3b6bdc6db5219844fe80d8f2472c53	SAMEA7714390
PXD007662-Sample 14	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	G	2	run 14	20161223_Qp2_45_G_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_45_G_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	G	none	3577eba0130613b65e1fd2d737569c4b13f837f4f6e284924d0094eab3a2a44b	SAMEA7714391
PXD007662-Sample 15	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	G	3	run 15	20161223_Qp2_03_G_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_03_G_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	G	none	0aa574104046efecd14c5c13877d7182ff764f032e0f66247452462af03bad79	SAMEA7714392
PXD007662-Sample 16	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	G	4	run 16	20161223_Qp2_57_G_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_57_G_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	G	heat shock	224e05bec7181f68d20923686de71e01cb79ef62fc2070780a4ee450fa73220f	SAMEA7714393
PXD007662-Sample 17	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	G	5	run 17	20161223_Qp2_22_G_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_22_G_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	G	heat shock	cad297c53bc8b10c5a8390202095913e66c5783d6636a004e7af975a079c15a5	SAMEA7714394
PXD007662-Sample 18	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	G	6	run 18	20161223_Qp2_39_G_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_39_G_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	G	heat shock	ee7cfdc87f4910676eb2c795e350939f0c8547a50fce45178abb5025d4b9335a	SAMEA7714395
PXD007662-Sample 19	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KIS	1	run 19	20161223_Qp2_13_KIS_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_13_KIS_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KIS	none	6a2cae43f2e387289ac67257711992591c7d781e0ae532ff29cb39f577fd6e3f	SAMEA7714396
PXD007662-Sample 20	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KIS	2	run 20	20161223_Qp2_23_KIS_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_23_KIS_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KIS	none	69003c0cfa99695363dec23bb8caa9812f93aea0458d9f632c603245690221f8	SAMEA7714397
PXD007662-Sample 21	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KIS	3	run 21	20161223_Qp2_28_KIS_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_28_KIS_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KIS	none	090a97c7fc8a9b71abc2f695f9ec19fec2399ff289d1f12d1a19c837e425350f	SAMEA7714398
PXD007662-Sample 22	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KIS	4	run 22	20161223_Qp2_60_KIS_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_60_KIS_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KIS	heat shock	efee2cc84032d2732ed0f6f37c502f1008232bf0d8471a2b309ed9015b6b1d5f	SAMEA7714399
PXD007662-Sample 23	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KIS	5	run 23	20161223_Qp2_67_KIS_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_67_KIS_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KIS	heat shock	5926f12fdef2815f69ff9b34d473c5029620d565fd7687124e2e151b3fe90541	SAMEA7714400
PXD007662-Sample 24	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KIS	6	run 24	20161223_Qp2_09_KIS_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_09_KIS_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KIS	heat shock	2eb285acf532a2efdec94b6665c1fec908541700dbef14bc605138c434d99f98	SAMEA7714401
PXD007662-Sample 25	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KOR	1	run 25	20161223_Qp2_48_KOR_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_48_KOR_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KOR	none	a5ab7c4e388479ccd18d58efba58acd0f2ada364ff476f89e4a1dce60f31ffba	SAMEA7714402
PXD007662-Sample 26	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KOR	2	run 26	20161223_Qp2_08_KOR_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_08_KOR_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KOR	none	4524c623068d2df276de1b1b6b2091c93c00db797544c65fc6dd1902be26dada	SAMEA7714403
PXD007662-Sample 27	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	KOR	3	run 27	20161223_Qp2_59_KOR_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_59_KOR_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KOR	none	356bb93e639aeecea1c739c0715a7e82eba791b36cb2117c1939f4e8a608a729	SAMEA7714404
PXD007662-Sample 28	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KOR	4	run 28	20161223_Qp2_47_KOR_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_47_KOR_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KOR	heat shock	888e4c2634017583ee7e4169b12f1e3686c26b2d0b0c7ff0041d9024b0c615e3	SAMEA7714405
PXD007662-Sample 29	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KOR	5	run 29	20161223_Qp2_37_KOR_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_37_KOR_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KOR	heat shock	4f99b97c9e95846db384228c24a0bfb4e2020c239d0cab79ae8b1e3d85be66e7	SAMEA7714406
PXD007662-Sample 30	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	KOR	6	run 30	20161223_Qp2_18_KOR_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_18_KOR_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	KOR	heat shock	98b9229ff63b9ebe7ebc6069eb3fa77fbe9a9b4eb8c796195a88e1c403df4c7a	SAMEA7714407
PXD007662-Sample 31	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	ME	1	run 31	20161223_Qp2_17_ME_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_17_ME_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	ME	none	bcbdee633c104f67fe7f188a319beeb1a1d25283c3e7ff8051531987c455f6a1	SAMEA7714408
