source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell line]	characteristics[treatment]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell cycle stage]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell cycle stage]
PXD024043-Sample-26	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	11	G2-M	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_18_S3-H8_1_3891.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_18_S3-H8_1_3891.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-27	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	12	G2-M	cell	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_21_S3-H11_1_3894.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_21_S3-H11_1_3894.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-28	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	13	G2-M	cell	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_22_S3-H12_1_3895.d	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_22_S3-H12_1_3895.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-29	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	14	G2-M	cell	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_01_S5-B2_1_3909.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_01_S5-B2_1_3909.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-30	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	15	G2-M	cell	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_03_S5-B4_1_3911.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_03_S5-B4_1_3911.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-31	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	16	G2-M	cell	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_05_S5-B6_1_3913.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_05_S5-B6_1_3913.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-32	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	17	G2-M	cell	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_06_S5-B7_1_3914.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_06_S5-B7_1_3914.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-33	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	18	G2-M	cell	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_07_S5-B8_1_3915.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_07_S5-B8_1_3915.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-34	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	19	G2-M	cell	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_08_S5-B9_1_3916.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_08_S5-B9_1_3916.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-35	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	20	G2-M	cell	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_09_S5-B10_1_3917.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_09_S5-B10_1_3917.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-36	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	21	G2-M	cell	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_12_S5-C2_1_3921.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_12_S5-C2_1_3921.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-37	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	22	G2-M	cell	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_13_S5-C3_1_3922.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_13_S5-C3_1_3922.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-38	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	23	G2-M	cell	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_14_S5-C4_1_3923.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_14_S5-C4_1_3923.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-39	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	24	G2-M	cell	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_15_S5-C5_1_3924.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_15_S5-C5_1_3924.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-40	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	25	G2-M	cell	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_16_S5-C6_1_3925.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_16_S5-C6_1_3925.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-41	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	26	G2-M	cell	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_17_S5-C7_1_3926.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_17_S5-C7_1_3926.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-42	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	27	G2-M	cell	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_18_S5-C8_1_3927.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_18_S5-C8_1_3927.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-43	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	28	G2-M	cell	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_19_S5-C9_1_3928.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_19_S5-C9_1_3928.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-44	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	29	G2-M	cell	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_21_S5-C11_1_3930.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_21_S5-C11_1_3930.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-45	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	30	G2-M	cell	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_23_S5-D2_1_3933.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_23_S5-D2_1_3933.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-46	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	31	G2-M	cell	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_27_S5-D6_1_3937.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_27_S5-D6_1_3937.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-47	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	32	G2-M	cell	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_28_S5-D7_1_3938.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_28_S5-D7_1_3938.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-48	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	33	G2-M	cell	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_34_S5-E2_1_3945.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_34_S5-E2_1_3945.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
PXD024043-Sample-49	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	nocodazole block	epithelial cell	Black	34	G2-M	cell	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_39_S5-E7_1_3950.d	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_39_S5-E7_1_3950.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	G2-M
