source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]		factor value[organism part]
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 11	11	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22102.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22102.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 12	12	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22104.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22104.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 13	13	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22108.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22108.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 14	14	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22110.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22110.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 15	15	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22112.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22112.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 16	16	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22114.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22114.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 17	17	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22116.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22116.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 18	18	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22118.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22118.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 19	19	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22120.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22120.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 20	20	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22122.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22122.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 21	21	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22124.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22124.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 22	22	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22126.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22126.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 23	23	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22128.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22128.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 24	24	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22130.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22130.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 25	25	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22134.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22134.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 26	26	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22136.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22136.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 27	27	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22138.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22138.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 28	28	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22140.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22140.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 29	29	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22142.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22142.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 30	30	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22144.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22144.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 31	31	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22146.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22146.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 32	32	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22148.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22148.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 33	33	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22150.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22150.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 34	34	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22152.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22152.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 35	35	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22154.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22154.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 36	36	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22156.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22156.raw		colon
PXD014565-Sample-1	Homo sapiens	colon	European	46Y	not available	Female	DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 37	37	1	https://ftp.ebi.ac.uk/pride-archive/2019/12/PXD014565/QEXI22160.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=HCD;AC=MS:1000422	27 NCE	20 ppm	5 ppm	QEXI22160.raw		colon
