source Name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	Material Type	characteristics[biological replicate]	comment[data file]	comment[file uri]	assay name	comment[fraction identifier]	comment[technical replicate]	technology type	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	Factor Value[Material Type]
PXD003492-Sample-18	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A1_F9_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A1_F9_2.raw	run 18	9	2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-19	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A1_F10_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A1_F10_1.raw	run 19	10	1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-20	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A1_F10_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A1_F10_2.raw	run 20	10	2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-21	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A1_F11_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A1_F11_1.raw	run 21	11	1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-22	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A1_F11_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A1_F11_2.raw	run 22	11	2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-23	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A1_F12_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A1_F12_1.raw	run 23	12	1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-24	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A1_F12_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A1_F12_2.raw	run 24	12	2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-25	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A2_F1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A2_F1_1.raw	run 25	1	1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-26	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A2_F1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A2_F1_2.raw	run 26	1	2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-27	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A2_F2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A2_F2_1.raw	run 27	2	1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-28	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A2_F2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A2_F2_2.raw	run 28	2	2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-29	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A2_F3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A2_F3_1.raw	run 29	3	1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
PXD003492-Sample-30	Homo sapiens	not available	lymphoma	not available	not available	not available	not available	organism part	1	DG75_BCRstim_GP_A2_F3_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD003492/DG75_BCRstim_GP_A2_F3_2.raw	run 30	3	2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=T;AC=UNIMOD:21	NT=Phospho;MT=Variable;TA=Y;AC=UNIMOD:21	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	6 ppm	20 ppm	HCD	28% NCE	organism part
