source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[xenograft]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	factor value[disease]
PDC000124-Sample-1	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-2	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-3	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-4	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-5	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-6	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-7	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-8	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-9	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-10	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run23	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f23.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=YHOPsytDzdXyiTqt77eT-XzYP6Dk8gU4ozCFO4xpYgxgjJvYay6lYuYwO0Q37decymORPrsC--n2lQFj4SleXvdCiWaciit1AMjmIwksp1YZD~thvsnFaUacFLr8OImCn-XhO2PhJVLKw5zE6rmVbxHB1UHMBDD0sbKI88oDec98K9f9U0afAqh7fwwpfNA84GpRZ195YHGnu0sir43mxFAc~n6dz7Q~YbxTObVXvNIQr3r4jYiCKWpvkswblPeDfBEj1i1Id~7fkzxU6W5mmeMAGKoPyQ9EcE5jYhZJqQub70B0W4C-seK6GfawajffAFH5HbYnj1DUUe-UGvePeA__	1	23	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-1	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run24	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=WPZB~cfCuyz3SwXnBIV5XA0l~8g2ASjQjaHbGPly~JO-swD2S4cIOG21ZMluCu6IdQjAMbKOnNmIgd6VC2QHvgcqXcsPakDxNSBvVWN8IHS9SN7Itg45yJfg94eHRUZhhK9uNHQjFWBbaf6YqSL4oz5770nQJlnb-N8cPalutjoIrdFGaYRHcx85niDvjxHzLka-92qVbTFz2oiPytpu-sELCO1puil~lOf6Jf4UtjQbFUtzxgaGe-~Gj8wqGMIC70mj0aGjXDYnIcLDZ9ACMXzO6ivycTEtP44wvNA-DUbc-49DV38wd16F76ht5t7IzExmXTo2KdlnqVTrbZ5I5A__	1	24	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-2	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run24	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=WPZB~cfCuyz3SwXnBIV5XA0l~8g2ASjQjaHbGPly~JO-swD2S4cIOG21ZMluCu6IdQjAMbKOnNmIgd6VC2QHvgcqXcsPakDxNSBvVWN8IHS9SN7Itg45yJfg94eHRUZhhK9uNHQjFWBbaf6YqSL4oz5770nQJlnb-N8cPalutjoIrdFGaYRHcx85niDvjxHzLka-92qVbTFz2oiPytpu-sELCO1puil~lOf6Jf4UtjQbFUtzxgaGe-~Gj8wqGMIC70mj0aGjXDYnIcLDZ9ACMXzO6ivycTEtP44wvNA-DUbc-49DV38wd16F76ht5t7IzExmXTo2KdlnqVTrbZ5I5A__	1	24	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-3	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run24	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=WPZB~cfCuyz3SwXnBIV5XA0l~8g2ASjQjaHbGPly~JO-swD2S4cIOG21ZMluCu6IdQjAMbKOnNmIgd6VC2QHvgcqXcsPakDxNSBvVWN8IHS9SN7Itg45yJfg94eHRUZhhK9uNHQjFWBbaf6YqSL4oz5770nQJlnb-N8cPalutjoIrdFGaYRHcx85niDvjxHzLka-92qVbTFz2oiPytpu-sELCO1puil~lOf6Jf4UtjQbFUtzxgaGe-~Gj8wqGMIC70mj0aGjXDYnIcLDZ9ACMXzO6ivycTEtP44wvNA-DUbc-49DV38wd16F76ht5t7IzExmXTo2KdlnqVTrbZ5I5A__	1	24	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-4	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P94	not available	Xenograft Tissue	run24	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=WPZB~cfCuyz3SwXnBIV5XA0l~8g2ASjQjaHbGPly~JO-swD2S4cIOG21ZMluCu6IdQjAMbKOnNmIgd6VC2QHvgcqXcsPakDxNSBvVWN8IHS9SN7Itg45yJfg94eHRUZhhK9uNHQjFWBbaf6YqSL4oz5770nQJlnb-N8cPalutjoIrdFGaYRHcx85niDvjxHzLka-92qVbTFz2oiPytpu-sELCO1puil~lOf6Jf4UtjQbFUtzxgaGe-~Gj8wqGMIC70mj0aGjXDYnIcLDZ9ACMXzO6ivycTEtP44wvNA-DUbc-49DV38wd16F76ht5t7IzExmXTo2KdlnqVTrbZ5I5A__	1	24	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
PDC000124-Sample-5	Homo sapiens	not available	not available	not available	not available	not available	patient-derived xenograft  tumors from established basal and luminal breast cancer intrinsic subtypes were raised subcutaneously in 8-week mice	basal and luminal breast cancer	1	WHIM-P93	not available	Xenograft Tissue	run24	proteomic profiling by mass spectrometry	01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/10/23/01CPTAC_CompRef_UCEC_W_PNNL_20170922_B1S5_f24.raw?Expires=1686120783&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=WPZB~cfCuyz3SwXnBIV5XA0l~8g2ASjQjaHbGPly~JO-swD2S4cIOG21ZMluCu6IdQjAMbKOnNmIgd6VC2QHvgcqXcsPakDxNSBvVWN8IHS9SN7Itg45yJfg94eHRUZhhK9uNHQjFWBbaf6YqSL4oz5770nQJlnb-N8cPalutjoIrdFGaYRHcx85niDvjxHzLka-92qVbTFz2oiPytpu-sELCO1puil~lOf6Jf4UtjQbFUtzxgaGe-~Gj8wqGMIC70mj0aGjXDYnIcLDZ9ACMXzO6ivycTEtP44wvNA-DUbc-49DV38wd16F76ht5t7IzExmXTo2KdlnqVTrbZ5I5A__	1	24	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	basal and luminal breast cancer
