source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 11	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 12	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 13	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 14	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 15	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
PXD019483-Sample-2	Homo sapiens	not applicable	not available	not available	A549	not applicable	not applicable	not applicable	not applicable	1	organism part	run 16	proteomic profiling by mass spectrometry	20190530_QX6_JoMu_SA_uPac200cm_A549_f8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190530_QX6_JoMu_SA_uPac200cm_A549_f8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	A549
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 17	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 18	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 19	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 20	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 21	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 22	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 23	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-3	Homo sapiens	not applicable	not available	not available	AspC1	not applicable	not applicable	not applicable	not applicable	1	organism part	run 24	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_AspC1_f8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_AspC1_f8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	AspC1
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 25	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 26	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 27	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 28	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 29	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 30	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 31	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-4	Homo sapiens	not applicable	not available	not available	HEK293	not applicable	not applicable	not applicable	not applicable	1	organism part	run 32	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HEK293_f8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HEK293_f8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HEK293
PXD019483-Sample-5	Homo sapiens	not applicable	not available	not available	HaCat	not applicable	not applicable	not applicable	not applicable	1	organism part	run 33	proteomic profiling by mass spectrometry	20190601_QX6_JoMu_SA_uPac200cm_HaCat_f1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD019483/20190601_QX6_JoMu_SA_uPac200cm_HaCat_f1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	7 ppm	20 ppm	HaCat
