source name	characteristics[organism]	characteristics[cell line]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	factor value[cell line]
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run25	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr10.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr10.raw	1	10	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run26	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr11.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr11.raw	1	11	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run27	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr12.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr12.raw	1	12	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run28	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr13.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr13.raw	1	13	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run29	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr14.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr14.raw	1	14	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-2	Homo sapiens	SW620	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run30	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr15.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW620_fr15.raw	1	15	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW620
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run31	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr01.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr01.raw	1	1	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run32	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr02.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr02.raw	1	2	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run33	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr03.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr03.raw	1	3	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run34	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr04.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr04.raw	1	4	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run35	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr05.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr05.raw	1	5	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run36	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr06.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr06.raw	1	6	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run37	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr07.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr07.raw	1	7	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run38	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr08.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr08.raw	1	8	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run39	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr09.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr09.raw	1	9	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run40	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr10.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr10.raw	1	10	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run41	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr11.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr11.raw	1	11	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run42	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr12.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr12.raw	1	12	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run43	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr13.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr13.raw	1	13	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run44	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr14.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr14.raw	1	14	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-3	Homo sapiens	SW948	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run45	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr15.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW948_fr15.raw	1	15	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	SW948
MSV000080374-Sample-4	Homo sapiens	T84	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run46	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr01.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr01.raw	1	1	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	T84
MSV000080374-Sample-4	Homo sapiens	T84	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run47	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr02.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr02.raw	1	2	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	T84
MSV000080374-Sample-4	Homo sapiens	T84	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run48	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr03.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr03.raw	1	3	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	T84
MSV000080374-Sample-4	Homo sapiens	T84	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run49	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr04.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr04.raw	1	4	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	T84
MSV000080374-Sample-4	Homo sapiens	T84	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run50	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr05.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr05.raw	1	5	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	T84
MSV000080374-Sample-4	Homo sapiens	T84	not available	not available	cell line	not available	CRC	1	not available	not available	cell line	run51	proteomic profiling by mass spectrometry	MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr06.raw	ftp://massive.ucsd.edu/v01/MSV000080374/MSV000080374/raw/RAW/A0253_kfs_20140421r_T84_fr06.raw	1	6	label free	LTQ Orbitrap Velos;AC=MS:1001742	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Trypsin;AC=MS:1001251	T84
