source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	comment[file uri]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	factor value[cell line]
PMID22068331-Sample-24	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	24	not available	cell line	run 11	https://www.ebi.ac.uk/pride/archive/20091006_Velos1_NaNa_SA_Hela_GluC_SECD_pH_8.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20091006_Velos1_NaNa_SA_Hela_GluC_SECD_pH_8.raw	HeLa
PMID22068331-Sample-24	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	24	not available	cell line	run 12	https://www.ebi.ac.uk/pride/archive/20091006_Velos1_NaNa_SA_Hela_GluC_SECD_pH_8real.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	6	20091006_Velos1_NaNa_SA_Hela_GluC_SECD_pH_8real.raw	HeLa
PMID22068331-Sample-24	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	24	not available	cell line	run 13	https://www.ebi.ac.uk/pride/archive/20091010_Velos1_NaNa_SA_Hela_GluC_SECD_pH_11real.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	7	20091010_Velos1_NaNa_SA_Hela_GluC_SECD_pH_11real.raw	HeLa
PMID22068331-Sample-25	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	25	not available	cell line	run 14	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH03.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH03.raw	HeLa
PMID22068331-Sample-25	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	25	not available	cell line	run 15	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH04.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	2	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH04.raw	HeLa
PMID22068331-Sample-25	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	25	not available	cell line	run 16	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH05.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH05.raw	HeLa
PMID22068331-Sample-25	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	25	not available	cell line	run 17	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH06.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH06.raw	HeLa
PMID22068331-Sample-25	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	25	not available	cell line	run 18	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH08.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH08.raw	HeLa
PMID22068331-Sample-25	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	25	not available	cell line	run 19	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH11.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	6	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecA_pH11.raw	HeLa
PMID22068331-Sample-26	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	26	not available	cell line	run 20	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH03.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH03.raw	HeLa
PMID22068331-Sample-26	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	26	not available	cell line	run 21	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH04.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	2	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH04.raw	HeLa
PMID22068331-Sample-26	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	26	not available	cell line	run 22	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH05.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH05.raw	HeLa
PMID22068331-Sample-26	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	26	not available	cell line	run 23	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH06.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH06.raw	HeLa
PMID22068331-Sample-26	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	26	not available	cell line	run 24	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH08.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH08.raw	HeLa
PMID22068331-Sample-26	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	26	not available	cell line	run 25	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH11.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	6	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecB_pH11.raw	HeLa
PMID22068331-Sample-27	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	27	not available	cell line	run 26	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH03.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH03.raw	HeLa
PMID22068331-Sample-27	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	27	not available	cell line	run 27	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH04.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	2	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH04.raw	HeLa
PMID22068331-Sample-27	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	27	not available	cell line	run 28	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH05.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH05.raw	HeLa
PMID22068331-Sample-27	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	27	not available	cell line	run 29	https://www.ebi.ac.uk/pride/archive/20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH06.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	"NT=Asp-N_ambic;AC=MS:1001305
 "	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20091217_Velos1_NaNa_SA_10k_run2_Hela_GluC_SecE_pH06.raw	HeLa
