source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	factor value[cell line]
PMID22068331-Sample-2	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	2	cell line	run 11	https://www.ebi.ac.uk/pride/archive/20090812_Velos1_NaNa_SA_10k_Hela_Trypsin_SECB_SAXpH_08.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20090812_Velos1_NaNa_SA_10k_Hela_Trypsin_SECB_SAXpH_08.raw	HeLa
PMID22068331-Sample-2	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	2	cell line	run 12	https://www.ebi.ac.uk/pride/archive/20090812_Velos1_NaNa_SA_10k_Hela_Trypsin_SECB_SAXpH_11.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	6	20090812_Velos1_NaNa_SA_10k_Hela_Trypsin_SECB_SAXpH_11.raw	HeLa
PMID22068331-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 13	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_03.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_03.raw	HeLa
PMID22068331-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 15	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_05.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_05.raw	HeLa
PMID22068331-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 16	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_06.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_06.raw	HeLa
PMID22068331-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 17	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_08.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_08.raw	HeLa
PMID22068331-Sample-3	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	3	cell line	run 18	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_11.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	6	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECC_SAXpH_11.raw	HeLa
PMID22068331-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 19	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_03.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_03.raw	HeLa
PMID22068331-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 20	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_04.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	2	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_04.raw	HeLa
PMID22068331-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 21	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_05.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_05.raw	HeLa
PMID22068331-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 22	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_06.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_06.raw	HeLa
PMID22068331-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 23	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_08.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_08.raw	HeLa
PMID22068331-Sample-4	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	4	cell line	run 24	https://www.ebi.ac.uk/pride/archive/20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_11.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	6	20090815_Velos1_NaNa_SA_10k_Hela_Trypsin_SECD_SAXpH_11.raw	HeLa
PMID22068331-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 25	https://www.ebi.ac.uk/pride/archive/20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_03_091024182726.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	1	20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_03_091024182726.raw	HeLa
PMID22068331-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 27	https://www.ebi.ac.uk/pride/archive/20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_04_091024233140.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	2	20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_04_091024233140.raw	HeLa
PMID22068331-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 29	https://www.ebi.ac.uk/pride/archive/20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_05_091025033524.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	3	20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_05_091025033524.raw	HeLa
PMID22068331-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 31	https://www.ebi.ac.uk/pride/archive/20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_06_091025083938.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	4	20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_06_091025083938.raw	HeLa
PMID22068331-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	5	cell line	run 33	https://www.ebi.ac.uk/pride/archive/20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_08_091025134424.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;TA=N-term;MT=Variable	AC=MS:1002038;NT=label free sample	30 ppm	30 ppm	1	5	20091021_Velos1_NaNa_SA_10k_run2_Trypsin_SECA_SAX_pH_08_091025134424.raw	HeLa
