source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	Material Type	assay name	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 11	AC=MS:1002038;NT=label free sample	HCCLM3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R2_F5.raw	2	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 12	AC=MS:1002038;NT=label free sample	HCCLM3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R2_F6.raw	2	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 13	AC=MS:1002038;NT=label free sample	HCCLM3_R3_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R3_F1.raw	3	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 14	AC=MS:1002038;NT=label free sample	HCCLM3_R3_F2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R3_F2.raw	3	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 15	AC=MS:1002038;NT=label free sample	HCCLM3_R3_F3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R3_F3.raw	3	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 16	AC=MS:1002038;NT=label free sample	HCCLM3_R3_F4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R3_F4.raw	3	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 17	AC=MS:1002038;NT=label free sample	HCCLM3_R3_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R3_F5.raw	3	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-1	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM3	not available	1	cell	run 18	AC=MS:1002038;NT=label free sample	HCCLM3_R3_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM3_R3_F6.raw	3	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM3
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 19	AC=MS:1002038;NT=label free sample	HCCLM6_R1_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R1_F1.raw	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 20	AC=MS:1002038;NT=label free sample	HCCLM6_R1_F2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R1_F2.raw	1	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 21	AC=MS:1002038;NT=label free sample	HCCLM6_R1_F3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R1_F3.raw	1	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 22	AC=MS:1002038;NT=label free sample	HCCLM6_R1_F4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R1_F4.raw	1	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 23	AC=MS:1002038;NT=label free sample	HCCLM6_R1_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R1_F5.raw	1	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 24	AC=MS:1002038;NT=label free sample	HCCLM6_R1_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R1_F6.raw	1	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 25	AC=MS:1002038;NT=label free sample	HCCLM6_R2_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R2_F1.raw	2	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 26	AC=MS:1002038;NT=label free sample	HCCLM6_R2_F2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R2_F2.raw	2	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 27	AC=MS:1002038;NT=label free sample	HCCLM6_R2_F3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R2_F3.raw	2	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 28	AC=MS:1002038;NT=label free sample	HCCLM6_R2_F4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R2_F4.raw	2	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 29	AC=MS:1002038;NT=label free sample	HCCLM6_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R2_F5.raw	2	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 30	AC=MS:1002038;NT=label free sample	HCCLM6_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R2_F6.raw	2	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 31	AC=MS:1002038;NT=label free sample	HCCLM6_R3_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R3_F1.raw	3	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 32	AC=MS:1002038;NT=label free sample	HCCLM6_R3_F2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R3_F2.raw	3	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 33	AC=MS:1002038;NT=label free sample	HCCLM6_R3_F3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R3_F3.raw	3	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 34	AC=MS:1002038;NT=label free sample	HCCLM6_R3_F4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R3_F4.raw	3	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 35	AC=MS:1002038;NT=label free sample	HCCLM6_R3_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R3_F5.raw	3	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-2	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HCCLM6	not available	1	cell	run 36	AC=MS:1002038;NT=label free sample	HCCLM6_R3_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HCCLM6_R3_F6.raw	3	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HCCLM6
PXD036643-Sample-3	Homo sapiens	Liver	hepatocellular carcinoma	not available	not available	not available	not available	HUH7	not available	1	cell	run 37	AC=MS:1002038;NT=label free sample	HUH7_R1_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD036643/HUH7_R1_F1.raw	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	35% NCE	20 ppm	20 ppm	HUH7
